Hour,Average_Energy_Wh
0,52.78588807785888
1,51.32603406326034
2,49.07542579075426
3,48.236009732360095
4,49.35523114355231
5,52.737226277372265
6,57.71289537712895
7,78.64963503649635
8,106.14355231143553
9,112.78588807785889
10,125.37712895377129
11,133.12652068126522
12,123.63746958637469
13,124.74452554744525
14,108.28467153284672
15,105.82725060827251
16,119.90267639902676
17,161.35265700483092
18,190.36452004860269
19,143.06569343065692
20,126.98296836982968
21,96.4963503649635
22,69.14841849148418
23,56.982968369829685
